"month","gender","type","n","pp","npp"
2016-01-01,"C","Over 60 Concession",18070,1069,16.9036482694107
2016-01-01,"F","Over 60 Concession",1799849,100864,17.8443151173858
2016-01-01,"U","Over 60 Concession",203008,9698,20.9329758713137
2016-01-01,"M","Over 60 Concession",1507772,73404,20.540733475015
2016-01-01,"C","Disabled Concession",-1,-1,-1
2016-01-01,"F","Disabled Concession",146048,5858,24.9313758962103
2016-01-01,"M","Disabled Concession",182521,5746,31.7648799164636
2016-02-01,"M","Disabled Concession",174597,5530,31.5726943942134
2016-02-01,"C","Over 60 Concession",15699,951,16.5078864353312
2016-02-01,"C","Disabled Concession",-1,-1,-1
2016-02-01,"U","Over 60 Concession",198343,9487,20.9068198587541
2016-02-01,"F","Over 60 Concession",1749369,98284,17.7991229498189
2016-02-01,"F","Disabled Concession",140240,5647,24.8344253585975
2016-02-01,"M","Over 60 Concession",1427638,70428,20.2708865792015
2016-02-01,"U","Disabled Concession",1800,70,25.7142857142857
2016-03-01,"M","Over 60 Concession",1452538,69563,20.8808993286661
2016-03-01,"U","Disabled Concession",1920,66,29.0909090909091
2016-03-01,"C","Over 60 Concession",14900,867,17.1856978085352
2016-03-01,"F","Disabled Concession",143651,5484,26.1945660102115
2016-03-01,"C","Disabled Concession",-1,-1,-1
2016-03-01,"M","Disabled Concession",176365,5353,32.94694563796
2016-03-01,"F","Over 60 Concession",1809509,97392,18.5796471989486
2016-03-01,"U","Over 60 Concession",205487,9540,21.5395178197065
2016-04-01,"M","Over 60 Concession",1432846,67338,21.2784163473819
2016-04-01,"F","Over 60 Concession",1786535,94448,18.9155408266983
2016-04-01,"C","Over 60 Concession",12279,726,16.9132231404959
2016-04-01,"F","Disabled Concession",140774,5342,26.3523025084238
2016-04-01,"M","Disabled Concession",168721,5168,32.6472523219814
2016-04-01,"U","Over 60 Concession",204424,9301,21.9787119664552
2016-04-01,"C","Disabled Concession",-1,-1,-1
2016-04-01,"U","Disabled Concession",1815,67,27.089552238806
2016-05-01,"F","Disabled Concession",137112,5148,26.6340326340326
2016-05-01,"U","Disabled Concession",1842,60,30.7
2016-05-01,"C","Over 60 Concession",10375,633,16.390205371248
2016-05-01,"M","Over 60 Concession",1394103,64544,21.5992656172533
2016-05-01,"U","Over 60 Concession",199255,9058,21.9976816074189
2016-05-01,"C","Disabled Concession",-1,-1,-1
2016-05-01,"F","Over 60 Concession",1731412,91672,18.8870320272275
2016-05-01,"M","Disabled Concession",160434,4980,32.2156626506024
2016-06-01,"M","Disabled Concession",150308,4730,31.7775898520085
2016-06-01,"U","Disabled Concession",1875,63,29.7619047619048
2016-06-01,"F","Disabled Concession",131060,4848,27.0338283828383
2016-06-01,"F","Over 60 Concession",1697495,89320,19.0046462158531
2016-06-01,"C","Disabled Concession",-1,-1,-1
2016-06-01,"U","Over 60 Concession",194242,8764,22.1636239160201
2016-06-01,"C","Over 60 Concession",8498,527,16.1252371916509
2016-06-01,"M","Over 60 Concession",1360318,63188,21.5281066025195
2016-07-01,"M","Disabled Concession",141135,4439,31.794323045731
2016-07-01,"U","Over 60 Concession",191377,8522,22.4568176484393
2016-07-01,"U","Disabled Concession",1819,61,29.8196721311475
2016-07-01,"F","Disabled Concession",121889,4652,26.201418744626
2016-07-01,"C","Disabled Concession",-1,-1,-1
2016-07-01,"F","Over 60 Concession",1661927,86399,19.2354888366763
2016-07-01,"M","Over 60 Concession",1349190,61146,22.0650574035914
2016-07-01,"C","Over 60 Concession",6616,389,17.0077120822622
