AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000047,82,2734,2882.736,2854.289,3093.944,3119.218,3109.561,3106.108,3012.009,3148.186,3363.504,3802.684,3842.364,3860.227,5037.86,4555.124,4419.744,4277.052,4198.199,4111.823,4240.386,4217.236,4289.213,4398.326,4610.655,4723.911,4868.304,82
E06000047,83,2478,2542.22,2682.025,2660.444,2885.795,2913.798,2909.049,2906.093,2821.337,2951.983,3156.548,3570.08,3610.392,3631.89,4744.022,4294.987,4170.183,4039.104,3966.928,3888.568,4012.812,3994.271,4063.755,4171.283,4374.92,4486.731,83
E06000047,84,2222,2274.435,2340.059,2470.463,2454.751,2665.814,2696.777,2695.355,2694.602,2619.116,2743.756,2936.987,3323.7,3364.795,3389.289,4431.705,4017.324,3903.766,3784.713,3720.085,3649.92,3769.397,3755.504,3822.706,3927.821,4122.278,84
E06000047,85,2129,2015.575,2073.1,2139.71,2267.36,2255.658,2448.088,2481.873,2484.848,2486.85,2419.336,2537.225,2719.035,3079.578,3121.224,3147.915,4121.284,3740.318,3637.778,3530.222,3473.139,3410.801,3525.332,3515.919,3580.791,3683.217,85
E06000047,86,1825,1911.281,1821.412,1880.996,1947.619,2064.511,2054.932,2234.666,2270.397,2276.223,2280.125,2220.566,2332.222,2502.313,2836.616,2878.426,2906.672,3810.684,3462.848,3370.82,3274.52,3224.763,3170.017,3279.191,3273.823,3336.569,86
E06000047,87,1603,1619.94,1702.626,1630.719,1686.233,1743.814,1854.909,1849.849,2014.319,2050.218,2058.454,2064.107,2013.287,2117.639,2274.736,2580.221,2621.914,2651.994,3480.976,3168.764,3087.611,3002.969,2960.271,2913.463,3016.656,3015.604,87
E06000047,88,1306,1400.788,1420.033,1494.018,1431.111,1486.33,1540.111,1640.651,1639.509,1787.921,1824.3,1834.449,1841.98,1799.15,1895.563,2039.181,2315.523,2356.329,2387.087,3138.51,2860.983,2790.757,2717.706,2682.313,2643.128,2739.754,88
E06000047,89,1101,1122.049,1209.296,1228.141,1289.965,1241.105,1292.525,1341.47,1432.195,1434.026,1566.81,1602.471,1614.377,1622.945,1587.795,1676.255,1805.891,2052.714,2092.09,2123.506,2796.459,2553.835,2494.099,2432.272,2403.636,2371.811,89
E06000047,90,4183,4164.182,4184.792,4288.105,4395.511,4526.959,4608.689,4725.346,4871.295,5075.698,5256.875,5528.513,5795.457,6037.813,6254.125,6406.924,6619.558,6923.889,7402.093,7847.608,8259.027,9205.469,9811.223,10270.348,10598.826,10842.802,90
E06000005,60,1310,1281.549,1419.14,1412.391,1371.024,1490.923,1532.704,1543.634,1487.335,1577.023,1589.205,1526.915,1446.281,1418.179,1491.418,1498.558,1411.78,1311.277,1280.448,1221.438,1178.012,1117,1158.798,1260.339,1307.466,1295.506,60
E06000005,61,1191,1302.28,1274.314,1408.616,1402.19,1361.49,1481.076,1522.563,1533.625,1478.794,1567.141,1578.806,1517.856,1438.663,1411.239,1482.431,1490.043,1404.246,1304.758,1273.216,1215.025,1172.359,1112.224,1153.428,1254.285,1301.444,61
E06000005,62,1216,1181.718,1291.103,1264.878,1396.643,1390.947,1351.573,1469.29,1510.8,1522.017,1468.925,1555.623,1566.872,1507.258,1429.543,1402.518,1471.754,1480.071,1394.977,1296.635,1264.667,1207.202,1165.419,1105.648,1146.7,1246.672,62
E06000005,63,1231,1210.524,1176.782,1284.701,1260.325,1389.868,1384.768,1346.462,1462.804,1504.486,1515.817,1464.181,1549.599,1560.414,1501.949,1425.411,1398.694,1466.31,1475.271,1390.656,1293.129,1260.647,1203.689,1162.662,1103.109,1144.112,63
